Date,Temp.F,Dew_Point.F,Humidity.percentage,Sea_Level_Press.in,Visibility.mi,Wind.mph,Precip.in,Events
1/1/2014,26,12,73,30.19,5,9,0.03,Snow
1/4/2014,31,18,68,29.95,7,11,0.01,Snow
1/5/2014,10,1,63,30.24,5,14,0.02,Snow
1/10/2014,38,35,90,29.7,6,5,0,Rain
1/11/2014,40,30,75,29.8,9,7,0,Rain
1/12/2014,49,29,51,29.64,10,10,0,Rain
1/14/2014,36,19,45,30.02,10,9,0,Rain
1/15/2014,29,11,48,30.14,10,8,0,Rain
1/17/2014,26,2,38,30.13,10,13,0,Snow
1/21/2014,13,-3,46,30.37,10,12,0,Snow
1/24/2014,28,3,35,30.19,10,14,0,Snow
1/30/2014,39,14,38,29.82,10,19,0,Snow
1/31/2014,24,14,71,30.04,8,13,0,Snow
2/5/2014,10,0,67,30.5,7,14,0,Snow
2/9/2014,21,12,71,30.31,5,9,0.01,Snow
2/18/2014,55,28,38,29.82,10,12,0,Rain
2/21/2014,44,20,41,29.88,10,11,0,Rain
2/25/2014,22,11,59,30.38,10,11,0,Snow
3/1/2014,21,11,76,30.29,5,14,0.03,Snow
3/2/2014,5,-5,65,30.5,5,14,0.08,Snow
3/5/2014,36,25,72,30.2,7,4,0,Snow
3/14/2014,54,23,29,29.87,10,13,0,Rain
3/23/2014,34,14,53,30.47,8,9,0,Snow
3/24/2014,34,23,68,30.26,6,5,0,Snow
3/26/2014,46,25,53,30,9,11,0.07,Rain
4/4/2014,42,28,59,30.03,10,14,0,Rain
4/9/2014,57,31,40,29.97,10,7,0,Rain
4/14/2014,38,25,64,30.03,9,16,0,Snow
4/16/2014,56,29,37,29.94,10,18,0,Rain
4/20/2014,70,50,51,30.04,10,8,0,Rain
4/21/2014,69,54,63,29.97,10,7,0,Rain
4/28/2014,60,46,63,29.35,9,13,0,Rain
4/29/2014,49,43,82,29.56,7,11,0.14,Rain
4/30/2014,48,36,66,29.93,10,9,0.05,Rain
5/1/2014,49,37,62,29.97,10,10,0,Rain
5/8/2014,75,60,61,29.7,10,14,0.01,Rain
5/11/2014,76,61,57,29.7,10,14,0,Rain
5/15/2014,53,30,43,30.12,10,8,0,Rain
5/19/2014,73,56,57,29.82,10,14,0,Rain
5/22/2014,71,55,58,30.08,10,9,0.08,Rain
5/24/2014,67,59,77,30.06,9,6,0.4,Rain
5/27/2014,75,63,68,29.94,10,5,0.07,Rain
5/28/2014,78,64,64,29.92,10,3,0,Rain
5/30/2014,78,64,65,29.99,10,7,0,Rain
6/9/2014,70,61,83,29.79,7,10,1,Rain
6/10/2014,63,58,85,29.78,7,12,1.01,Rain
6/14/2014,73,60,59,29.81,10,13,0,Rain
6/16/2014,80,68,68,29.88,10,9,0,Rain
6/19/2014,80,71,76,29.92,10,11,0.06,Rain
7/1/2014,77,62,63,29.88,10,7,0.01,Rain
7/6/2014,81,70,69,29.88,10,14,0,Rain
7/14/2014,72,63,70,30,9,4,0.17,Rain
7/25/2014,86,68,57,29.81,10,13,0,Rain
7/27/2014,82,64,58,29.98,10,7,0,Rain
8/15/2014,77,67,73,29.91,10,6,0.01,Rain
8/16/2014,76,70,78,29.82,8,11,0.2,Rain
9/4/2014,86,69,57,29.85,10,16,0,Rain
9/11/2014,58,52,81,30.14,9,10,0.01,Rain
9/12/2014,52,46,74,30.34,10,11,0,Rain
9/20/2014,78,68,76,29.93,8,9,0,Rain
9/23/2014,67,52,58,30.19,10,6,0,Rain
9/24/2014,66,53,65,30.18,10,7,0.03,Rain
10/3/2014,52,39,60,30.05,10,10,0.03,Rain
10/4/2014,51,30,47,30.02,10,9,0,Rain
10/10/2014,53,45,74,30.11,10,10,0.22,Rain
10/13/2014,56,54,90,29.61,7,8,0.76,Rain
10/14/2014,60,43,57,29.77,10,16,0,Rain
10/23/2014,62,57,82,30.08,8,6,0.1,Rain
10/26/2014,71,55,58,29.78,10,9,0,Rain
10/27/2014,68,54,57,29.64,10,14,0,Rain
10/28/2014,58,36,48,30.07,10,7,0,Rain
11/2/2014,57,30,37,30.13,10,14,0,Rain
11/3/2014,61,49,68,29.99,10,16,0,Rain
11/11/2014,32,18,60,30.19,10,16,0.01,Snow
11/15/2014,29,19,62,30.24,10,5,0,Snow
11/16/2014,25,15,69,30.18,8,7,0,Snow
11/17/2014,20,5,52,30.28,10,11,0,Snow
11/21/2014,38,28,68,30.18,10,7,0.02,Rain
11/22/2014,56,51,87,29.9,6,9,0,Rain
11/23/2014,50,50,89,29.43,5,7,0.11,Rain
11/24/2014,38,22,56,29.81,10,13,0,Rain
12/5/2014,42,40,93,30.15,5,6,0.36,Rain
12/7/2014,39,36,91,30.38,4,7,0.03,Rain
12/10/2014,32,29,87,30.31,6,5,0,Rain
12/14/2014,58,51,80,29.89,7,11,0.64,Rain
12/16/2014,30,22,71,30.26,10,13,0,Snow
12/17/2014,28,19,68,30.34,10,5,0,Snow
12/22/2014,46,41,85,29.56,8,8,0,Rain
12/24/2014,36,31,83,29.83,9,10,0,Rain
12/25/2014,44,29,57,29.79,10,13,0,Rain
1/4/2015,16,4,63,30.43,8,12,0,Snow
1/6/2015,24,11,61,30.51,9,11,0,Snow
1/7/2015,12,-2,55,30.9,10,12,0,Snow
1/8/2015,18,5,53,30.34,10,12,0,Snow
1/9/2015,16,1,48,30.58,10,12,0,Snow
1/11/2015,34,24,67,30.21,10,7,0,Rain
1/12/2015,24,14,64,30.53,9,10,0,Snow
1/17/2015,49,27,45,29.88,10,12,0,Rain
1/24/2015,46,29,56,29.86,10,7,0.01,Rain
1/25/2015,40,34,77,29.87,10,12,0,Rain
1/29/2015,41,28,61,30.3,10,13,0,Rain
2/4/2015,24,17,73,30.33,8,9,0.01,Snow
2/12/2015,22,4,48,30.55,10,12,0,Snow
2/14/2015,28,14,53,30.28,10,9,0,Snow
2/15/2015,16,4,62,30.36,7,13,0.06,Snow
2/16/2015,19,10,71,30.22,8,7,0,Snow
2/17/2015,26,17,68,30.11,9,6,0,Snow
2/18/2015,16,0,50,30.34,10,9,0,Snow
2/19/2015,13,7,71,30.39,7,5,0.01,Snow
2/20/2015,26,24,78,29.95,7,5,0,Rain
2/21/2015,38,30,75,30.04,7,6,0.04,Rain
2/24/2015,32,15,51,30.07,10,10,0,Snow
2/28/2015,21,16,76,30.47,4,6,0.01,Snow
3/1/2015,29,21,73,30.42,9,2,0,Snow
3/4/2015,26,6,46,30.31,10,12,0,Snow
3/16/2015,70,42,41,29.98,10,12,0,Rain
3/17/2015,52,28,44,30.25,10,14,0,Rain
3/18/2015,42,31,72,30.16,7,12,0.08,Rain
3/19/2015,40,37,89,30.11,8,6,0.02,Rain
3/23/2015,50,36,52,30.06,10,10,0,Rain
3/25/2015,49,41,80,30.03,8,7,0.11,Rain
3/26/2015,44,29,57,30.15,10,8,0.01,Rain
3/29/2015,54,36,58,30.03,10,9,0,Rain
4/1/2015,68,47,52,29.79,10,11,0,Rain
4/5/2015,56,37,56,29.98,10,12,0,Rain
4/14/2015,60,34,38,30.17,10,7,0,Rain
4/15/2015,56,46,66,30.02,10,10,0,Rain
4/20/2015,53,30,44,29.81,10,12,0,Rain
4/21/2015,58,32,39,29.83,10,8,0,Rain
4/24/2015,60,46,60,29.75,10,9,0.02,Rain
4/26/2015,56,43,70,29.92,9,11,0,Rain
5/2/2015,67,49,52,29.97,10,8,0,Rain
5/3/2015,74,55,52,29.84,10,14,0,Rain
5/11/2015,54,39,54,30.02,10,10,0,Rain
5/13/2015,60,45,51,30.22,10,8,0,Rain
5/14/2015,66,59,82,29.98,8,10,0.16,Rain
5/19/2015,53,42,63,30.24,10,10,0,Rain
5/20/2015,52,47,84,30.12,7,11,0.87,Rain
5/21/2015,58,45,70,30.24,10,5,0,Rain
5/24/2015,67,62,85,29.87,8,8,0.79,Rain
5/30/2015,62,56,83,30.05,10,7,0.02,Rain
6/9/2015,80,62,55,29.83,10,5,0,Rain
6/11/2015,84,69,62,29.69,10,11,0,Rain
6/13/2015,75,68,84,29.86,10,4,0,Rain
6/20/2015,84,71,66,29.79,10,12,0,Rain
6/22/2015,84,72,68,29.82,10,15,0,Rain
6/29/2015,78,64,62,29.88,10,5,0,Rain
7/4/2015,73,62,66,29.96,9,3,0,Rain
7/7/2015,68,62,83,30.01,4,10,0.45,Rain
7/8/2015,64,62,90,29.95,6,8,0,Rain
7/9/2015,70,61,75,30.02,10,3,0,Rain
7/24/2015,86,76,74,29.89,10,5,0,Rain
8/5/2015,74,68,82,29.94,10,7,0.07,Rain
8/9/2015,86,77,78,29.83,10,8,0.02,Rain
9/2/2015,82,68,65,29.96,10,9,0,Rain
10/6/2015,64,57,81,30.16,10,1,0,Rain
10/9/2015,59,49,72,30.23,10,6,0.02,Rain
10/22/2015,69,57,68,30.11,10,6,0,Rain
10/23/2015,68,62,82,29.88,9,11,0.18,Rain
10/27/2015,55,52,91,29.85,5,6,0.05,Rain
10/28/2015,56,44,72,29.74,10,9,0,Rain
10/30/2015,44,41,83,29.96,8,4,0.2,Rain
10/31/2015,50,48,90,29.79,7,4,0.17,Rain
11/5/2015,62,57,77,29.85,10,12,0.03,Rain
11/18/2015,50,41,74,29.47,10,14,0.02,Rain
11/20/2015,44,29,55,30.04,10,6,0,Rain
11/21/2015,34,23,63,30.27,10,13,0,Rain
11/28/2015,34,30,89,30.38,9,10,0.01,Rain
11/29/2015,36,34,92,30.24,6,9,0.36,Rain
11/30/2015,38,36,92,29.98,6,6,0.21,Rain
12/12/2015,54,47,84,29.79,8,2,0,Rain
12/13/2015,56,57,91,29.46,7,9,1.19,Rain
12/14/2015,44,39,84,29.46,10,9,0.02,Rain
12/20/2015,52,42,63,29.87,10,18,0,Rain
12/23/2015,50,41,73,29.33,10,12,0.01,Rain
12/26/2015,42,38,82,30,9,10,0.69,Rain
12/27/2015,34,29,80,30.26,9,16,0.03,Rain
1/7/2016,42,40,95,29.84,4,4,0.15,Rain
1/8/2016,40,38,90,29.77,9,6,0.05,Rain
1/9/2016,22,15,71,30.09,10,13,0,Snow
1/17/2016,12,0,66,30.32,8,12,0.01,Snow
1/21/2016,26,20,80,30.23,6,9,0,Snow
2/1/2016,46,32,63,29.94,10,5,0.03,Rain
2/3/2016,30,21,66,30.05,10,14,0,Snow
2/8/2016,32,18,56,30.06,10,18,0,Snow
2/16/2016,40,33,69,29.89,10,11,0,Rain
2/25/2016,38,26,65,30.24,10,9,0,Snow
3/11/2016,56,41,58,30.21,10,4,0,Rain
3/12/2016,54,52,91,29.96,5,5,0.17,Rain
3/18/2016,46,25,47,30.15,10,10,0,Rain
3/20/2016,42,29,67,30.32,9,9,0,Snow
3/24/2016,48,35,75,29.75,9,14,0,Rain
3/26/2016,52,41,69,29.97,10,7,0.04,Rain
3/31/2016,55,46,68,29.56,10,10,0,Rain
4/1/2016,46,32,60,29.96,10,11,0,Rain
4/6/2016,60,41,56,29.8,10,11,0.03,Rain
4/17/2016,67,54,60,30.16,10,9,0,Rain
4/18/2016,64,60,85,30.15,9,7,0.17,Rain
4/19/2016,64,54,74,30.14,10,6,0.01,Rain
4/20/2016,63,53,75,29.89,9,8,0.11,Rain
4/29/2016,52,47,80,29.95,9,10,0.14,Rain
5/15/2016,55,38,54,30.19,10,4,0.03,Rain
5/16/2016,54,50,88,30.08,8,7,0.71,Rain
5/17/2016,56,48,81,30.17,9,11,0.19,Rain
5/19/2016,59,46,65,30.11,10,3,0.09,Rain
5/20/2016,62,52,73,30.06,10,5,0.01,Rain
5/21/2016,63,49,61,30.13,10,4,0.01,Rain
5/25/2016,75,63,66,29.85,10,9,0.05,Rain
5/31/2016,72,63,74,29.91,10,4,0.03,Rain
6/13/2016,80,70,74,29.9,9,5,0.18,Rain
6/21/2016,86,70,60,29.98,10,9,0,Rain
7/4/2016,75,66,79,29.87,8,5,0,Rain
8/7/2016,74,64,74,29.99,10,8,0.06,Rain
8/31/2016,76,69,80,30.09,10,5,0.14,Rain
9/25/2016,67,62,82,30.08,9,6,0.29,Rain
10/7/2016,56,44,76,30.22,8,10,0.01,Rain
10/10/2016,65,50,61,30.17,10,5,0.04,Rain
10/20/2016,54,41,61,30.26,10,8,0.04,Rain
11/7/2016,58,50,76,30.19,10,3,0.05,Rain
11/22/2016,55,45,70,29.85,10,9,0.01,Rain
11/23/2016,50,43,84,29.99,10,10,0.03,Rain
12/3/2016,40,31,68,30.23,10,4,0,Rain
12/4/2016,40,38,88,30.03,8,7,0.22,Rain
12/7/2016,28,18,67,30.33,6,7,0,Snow
12/17/2016,20,12,80,29.98,4,12,0.01,Snow
12/23/2016,44,33,71,30.02,10,7,0.03,Rain
